# category	op	marker
unary_pointwise	abs	abs
unary_pointwise	bitwise_not	bitwise_not
unary_pointwise	cos	cos
unary_pointwise	native_dropout	dropout
unary_pointwise	erf	erf
unary_pointwise	exp	exp
unary_pointwise	flip	flip
unary_pointwise	gelu	gelu
unary_pointwise	isfinite	isfinite
unary_pointwise	isinf	isinf
unary_pointwise	isnan	isnan
unary_pointwise	logical_not	logical_not
unary_pointwise	neg	neg
unary_pointwise	reciprocal	reciprocal
unary_pointwise	relu	relu
unary_pointwise	repeat	repeat
unary_pointwise	rsqrt	rsqrt
unary_pointwise	sigmoid	sigmoid
unary_pointwise	silu	silu
unary_pointwise	sin	sin
unary_pointwise	tanh	tanh
unary_pointwise	tile	tile
unary_pointwise	triu	triu
binary_pointwise	add_tensor	add
binary_pointwise	bitwise_and_tensor	bitwise_and
binary_pointwise	bitwise_or_tensor	bitwise_or
binary_pointwise	clamp	clamp
binary_pointwise	clamp_tensor	clamp
binary_pointwise	true_divide	div
binary_pointwise	floor_divide	floor_divide
binary_pointwise	remainder	remainder
binary_pointwise	eq	eq
binary_pointwise	ge	ge
binary_pointwise	gt	gt
binary_pointwise	isclose	isclose
binary_pointwise	allclose	allclose
binary_pointwise	le	le
binary_pointwise	logical_and	logical_and
binary_pointwise	logical_or	logical_or
binary_pointwise	logical_xor	logical_xor
binary_pointwise	lt	lt
binary_pointwise	maximum	maximum
binary_pointwise	minimum	minimum
binary_pointwise	mul	mul
binary_pointwise	ne	ne
binary_pointwise	pow_tensor_tensor	pow
binary_pointwise	sub	sub
binary_pointwise	where_self	where
blas	addmm	addmm
blas	bmm	bmm
blas	mm	mm
blas	mv	mv
blas	outer	outer
norm	native_group_norm	group_norm
norm	instance_norm	instance_norm
norm	native_layer_norm	layer_norm
norm	linalg_vector_norm	vector_norm
norm	weight_norm_interface	weight_norm_interface
norm	weight_norm	weight_norm
reduction	all	all
reduction	all_dim	all
reduction	amax	amax
reduction	any	any
reduction	any_dim	any
reduction	argmax	argmax
reduction	count_nonzero	count_nonzero
reduction	cross_entropy_loss	cross_entropy_loss
reduction	cummin	cummin
reduction	cumsum	cumsum
reduction	gather	gather
reduction	index_add	index_add
reduction	index_select	index_select
reduction	log_softmax	log_softmax
reduction	masked_select	masked_select
reduction	max	max
reduction	max_dim	max
reduction	mean	mean
reduction	mean_dim	mean
reduction	min	min
reduction	min_dim	min
reduction	nonzero	nonzero
reduction	prod	prod
reduction	prod_dim	prod
reduction	scatter	scatter
reduction	select_scatter	select_scatter
reduction	slice_scatter	slice_scatter
reduction	softmax	softmax
reduction	sum	sum
reduction	sum_dim	sum
reduction	var_mean	var_mean
tensor_constructor	arange	arange
tensor_constructor	fill_scalar	fill
tensor_constructor	full	full
tensor_constructor	full_like	full_like
tensor_constructor	masked_fill	masked_fill
tensor_constructor	ones	ones
tensor_constructor	ones_like	ones_like
tensor_constructor	rand	rand
tensor_constructor	rand_like	rand_like
tensor_constructor	randn	randn
tensor_constructor	randn_like	randn_like
tensor_constructor	randperm	randperm
tensor_constructor	zeros	zeros
tensor_constructor	zeros_like	zeros_like
tensor_constructor	pad	pad
tensor_constructor	constant_pad_nd	pad
distribution	exponential_	exponential_
distribution	normal_tensor_tensor	normal
distribution	uniform_	uniform_
special	upsample_bicubic2d_aa	upsample_bicubic2d_aa
special	unique2	unique
special	cat	cat
special	diag	diag
special	diag_embed	diag_embed
special	diagonal_backward	diagonal_backward
special	embedding	embedding
special	hstack	hstack
special	isin	isin
special	multinomial	multinomial
special	repeat_interleave_self_int	repeat_interleave
special	repeat_interleave_tensor	repeat_interleave
special	repeat_interleave_self_tensor	repeat_interleave
special	resolve_conj	resolve_conj
special	resolve_neg	resolve_neg
special	sort	sort
special	stack	stack
special	topk	topk
