# 2026-07-28 full run: successful operators completed within 600 seconds.
# category	op	marker
unary_pointwise	abs	abs
unary_pointwise	bitwise_not	bitwise_not
unary_pointwise	cos	cos
unary_pointwise	exp	exp
unary_pointwise	isfinite	isfinite
unary_pointwise	isinf	isinf
unary_pointwise	isnan	isnan
unary_pointwise	logical_not	logical_not
unary_pointwise	neg	neg
unary_pointwise	reciprocal	reciprocal
unary_pointwise	relu	relu
unary_pointwise	rsqrt	rsqrt
unary_pointwise	sin	sin
binary_pointwise	bitwise_and_tensor	bitwise_and
binary_pointwise	eq	eq
binary_pointwise	ge	ge
binary_pointwise	gt	gt
binary_pointwise	le	le
binary_pointwise	lt	lt
binary_pointwise	maximum	maximum
binary_pointwise	minimum	minimum
binary_pointwise	ne	ne
blas	mm	mm
blas	mv	mv
tensor_constructor	arange	arange
tensor_constructor	full	full
tensor_constructor	ones	ones
tensor_constructor	ones_like	ones_like
tensor_constructor	rand	rand
tensor_constructor	rand_like	rand_like
tensor_constructor	randn	randn
tensor_constructor	randn_like	randn_like
tensor_constructor	randperm	randperm
tensor_constructor	zeros	zeros
tensor_constructor	zeros_like	zeros_like
distribution	exponential_	exponential_
distribution	normal_tensor_tensor	normal
distribution	uniform_	uniform_
special	diag	diag
special	embedding	embedding
special	hstack	hstack
special	stack	stack
